id,func,data,len,type,gain,offset,max,min
0,Common Header,2423,u16,Dec,,,,
1,Common Length,4,u16,Dec,,,,
2,Machine Information Offset,6,u16,Dec,,,,
3,User Parameter Offset,16,u16,Dec,,,,
4,Advance Parameter Offset,21,u16,Dec,,,,
5,Common Checksum,2470,u16,Dec,,,,
6,Machine Length,10,u16,Dec,,,,
7,Country Code,886,u16,Dec,,,,
8,Vender ID,2423,u16,Dec,,,,
9,Product ID,1,u16,Dec,,,,
10,Part ID,3,u16,Dec,,,,
11,Module ID,0,u16,Dec,,,,
12,Serial Number,0,u32,Dec,,,,
14,Version,FW_VERSION,u16,Dec,,,,
15,Build Date,FW_BUILDDATE,u16,Dec,,,,
16,User Parameter Length,5,u16,Dec,,,,
17,Main Control Status,,u16,Dec,,,,
18,Main Error Status,,u16,Dec,,,,
19,Main Error Mark,,u16,Dec,,,,
20,Main Error Result,,u16,Dec,,,,
21,Reserved ID,,u16,Dec,,,,
22,Advance Parameter Length,6,u16,Dec,,,,
23,Advance Password,0,u16,Dec,,,,
24,Heartbeat C28,,u32,Dec,,,,
26,Heartbeat CLA,,u32,Dec,,,,
28,FlashID,,u32,Dec,,,,
30,FlashStatus,,u32,Dec,,,,
32,FlashData,,u32,Dec,,,,
34,FlashTrigger,,u16,Dec,,,,
35,FlashRxCount,,u16,Dec,,,,
36,SdramCtrl,,u16,Dec,,,,
37,Reserved ID2,,u16,Dec,,,,
38,SdramStressPass,,u32,Dec,,,,
40,SdramStressErr,,u32,Dec,,,,
42,SdramFailAddr,,s32,Dec,,,,
44,SdramFailRead,,u32,Dec,,,,
