id,func,data,len,type,gain,offset,max,min
0,Common Header,2423,u16,Dec,,,,
1,Common Length,4,u16,Dec,,,,
2,Machine Information Offset,6,u16,Dec,,,,
3,User Parameter Offset,16,u16,Dec,,,,
4,Advance Parameter Offset,21,u16,Dec,,,,
5,Common Checksum,2470,u16,Dec,,,,
6,Machine Length,10,u16,Dec,,,,
7,Country Code,886,u16,Dec,,,,
8,Vender ID,2423,u16,Dec,,,,
9,Product ID,1,u16,Dec,,,,
10,Part ID,3,u16,Dec,,,,
11,Module ID,0,u16,Dec,,,,
12,Serial Number,0,u32,Dec,,,,
14,Version,60001,u16,Dec,,,,
15,Build Date,729,u16,Dec,,,,
16,User Parameter Length,5,u16,Dec,,,,
17,Main Control Status,1,u16,Dec,,,,
18,Main Error Status,0,u16,Dec,,,,
19,Main Error Mark,0,u16,Dec,,,,
20,Main Error Result,0,u16,Dec,,,,
21,Reserved ID,0,u16,Dec,,,,
22,Advance Parameter Length,6,u16,Dec,,,,
23,Advance Password,0,u16,Dec,,,,
24,Heartbeat C28,0,u32,Dec,,,,
26,Heartbeat CLA,0,u32,Dec,,,,
28,ADC Voltage,1.512821,f32,Dec,,,,
30,SPI Flash ID,0x00000000,u32,Hex,,,,
32,SDRAM Status,1,u32,Dec,,,,
34,DAC Volt Set,1.500366,f32,Dec,,,,
36,ADC Raw Data,2065,u16,Dec,,,,
37,DAC Raw Set,2048,u16,Dec,,,,
38,SDRAM Stress Pass,8,u32,Dec,,,,
40,"SDRAM Stress Error ",0,u32,Dec,,,,
42,SDRAM Fail Addr,0x00000000,u32,Hex,,,,
44,SDRAM Fail Expect,0x00000000,u32,Hex,,,,
46,"SDRAM Fail Read ",0x00000000,u32,Hex,,,,
48,DIN Status,255,u16,Dec,,,,
49,DOUT Control,0,u16,Dec,,,,
50,EN_SLAVE Control,0,u16,Dec,,,,
51," I2C Trigger",0,u16,Dec,,,,
52,MCU Die Temperature,45,f32,Dec,,,,
54,CPU Load (Cycles),149,u32,Dec,,,,
56,XINT1 Status,0,u16,Dec,,,,
